key,zh,en,ja,de,fr,es,ru
inline.plan295.crypto.safety_weak_reveal_only_for_legacy_r.b2d2476f90d6,安全性: 弱，仅用于 RC4 旧载荷还原；新加密已移除。,"Safety: weak, reveal-only for legacy RC4 payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy RC4 payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy RC4 payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy RC4 payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy RC4 payloads. New encryption has been removed.","Safety: weak, reveal-only for legacy RC4 payloads. New encryption has been removed."
inline.plan295.crypto.save_file_result.93309a5473ff,保存文件结果,Save file result,Save file result,Save file result,Save file result,Save file result,Save file result
inline.plan295.crypto.save_key_file.b4a521515a1f,保存密钥文件,Save key file,キーファイルを保存,Save key file,Save key file,Save key file,Save key file
inline.plan295.crypto.save_stego_media.f5e69b4bf942,保存隐写媒体,Save stego media,Save stego media,Save stego media,Save stego media,Save stego media,Save stego media
inline.plan295.crypto.secret_text.5afebe4c8226,隐藏文本,Secret text,秘密のテキスト,Secret text,Secret text,Secret text,Secret text
inline.plan295.crypto.security_workspace.75c2c69f6097,安全工具工作台,Security workspace,セキュリティワークスペース,Security workspace,Security workspace,Security workspace,Security workspace
inline.plan295.crypto.sha_256_rsa_signature.4ad2344cb150,包内 RSA 校验,Package-local RSA check,Package-local RSA check,Package-local RSA check,Package-local RSA check,Package-local RSA check,Package-local RSA check
inline.plan295.crypto.sha256_stream.497d6a375d82,SHA256 流,SHA256 stream,SHA256ストリーム,SHA256 stream,SHA256 stream,SHA256 stream,SHA256 stream
inline.plan295.crypto.source_image_on_the_left_stego_png_o.cfaa355a469f,左侧原图，右侧隐写 PNG。,"Source image on the left, stego PNG on the right.","Source image on the left, stego PNG on the right.","Source image on the left, stego PNG on the right.","Source image on the left, stego PNG on the right.","Source image on the left, stego PNG on the right.","Source image on the left, stego PNG on the right."
inline.plan295.crypto.source.43c32f0f6d5f,原文件,Source,ソース,Source,Source,Source,Source
inline.plan295.crypto.standalone_modules.bb91f39ee6b9,独立子模块,Standalone modules,スタンドアロンモジュール,Standalone modules,Standalone modules,Standalone modules,Standalone modules
inline.plan295.crypto.stego_media_is_ready_export_the_resu.2d6f5c4298f1,已生成隐写媒体，请导出结果文件。,Stego media is ready. Export the result file.,Stego media is ready. Export the result file.,Stego media is ready. Export the result file.,Stego media is ready. Export the result file.,Stego media is ready. Export the result file.,Stego media is ready. Export the result file.
inline.plan295.crypto.stego.1cc36bd69b84,隐写,Stego,Stego,Stego,Stego,Stego,Stego
inline.plan295.crypto.strength.6ceaff5bfe8e,强度,Strength,強度,Strength,Strength,Strength,Strength
inline.plan295.crypto.strong.1871a3e17f16,加强,Strong,強化,Strong,Strong,Strong,Strong
inline.plan295.crypto.submodules_open_from_standalone_card.b8f6715362dd,子模块以独立卡片进入，便于后续扩展大量加密解密工具。,"Submodules open from standalone cards, leaving room for many future crypto tools.",サブモジュールはスタンドアロンカードから開き、将来の多くの暗号ツールのためのスペースを残します。,"Submodules open from standalone cards, leaving room for many future crypto tools.","Submodules open from standalone cards, leaving room for many future crypto tools.","Submodules open from standalone cards, leaving room for many future crypto tools.","Submodules open from standalone cards, leaving room for many future crypto tools."
inline.plan295.crypto.text_has_been_revealed_copy_the_data.5964183b7429,已还原文本，请复制需要保存的数据。,Text has been revealed. Copy the data you need to keep.,Text has been revealed. Copy the data you need to keep.,Text has been revealed. Copy the data you need to keep.,Text has been revealed. Copy the data you need to keep.,Text has been revealed. Copy the data you need to keep.,Text has been revealed. Copy the data you need to keep.
inline.plan295.crypto.text_has_been_revealed_from_the_medi.ad7d7073d832,已从媒体中还原文本。,Text has been revealed from the media.,メディアからテキストが表示されました。,Text has been revealed from the media.,Text has been revealed from the media.,Text has been revealed from the media.,Text has been revealed from the media.
inline.plan295.crypto.the_cover_passphrase_reveals_only_th.e819e2ac0103,表层口令只还原表层文件，并且不使用当前密钥文件。,The cover passphrase reveals only the cover file and does not use the selected key file.,The cover passphrase reveals only the cover file and does not use the selected key file.,The cover passphrase reveals only the cover file and does not use the selected key file.,The cover passphrase reveals only the cover file and does not use the selected key file.,The cover passphrase reveals only the cover file and does not use the selected key file.,The cover passphrase reveals only the cover file and does not use the selected key file.
inline.plan295.crypto.the_file_was_exported_and_the_carrie.2dd13d997dc0,文件已导出，载体已从内存卸载。,The file was exported and the carrier has been unloaded from memory.,The file was exported and the carrier has been unloaded from memory.,The file was exported and the carrier has been unloaded from memory.,The file was exported and the carrier has been unloaded from memory.,The file was exported and the carrier has been unloaded from memory.,The file was exported and the carrier has been unloaded from memory.
inline.plan295.crypto.the_hidden_file_has_been_revealed_an.b0014c24e865,已从媒体还原文件内容，可导出保存。,The hidden file has been revealed and can be exported.,隠されたファイルが表示され、エクスポート可能です。,The hidden file has been revealed and can be exported.,The hidden file has been revealed and can be exported.,The hidden file has been revealed and can be exported.,The hidden file has been revealed and can be exported.
inline.plan295.crypto.the_hidden_file_has_been_revealed_ex.59730d54ffe5,已还原文件，请导出保存。,The hidden file has been revealed. Export it to save.,The hidden file has been revealed. Export it to save.,The hidden file has been revealed. Export it to save.,The hidden file has been revealed. Export it to save.,The hidden file has been revealed. Export it to save.,The hidden file has been revealed. Export it to save.
inline.plan295.crypto.this_tool_processes_files_locally_an.450bd6c842a1,本工具只在本地处理文件，不上传媒体。,This tool processes files locally and does not upload media.,This tool processes files locally and does not upload media.,This tool processes files locally and does not upload media.,This tool processes files locally and does not upload media.,This tool processes files locally and does not upload media.,This tool processes files locally and does not upload media.
inline.plan295.crypto.unnamed_cover_file.0d4ac9a6898e,未命名表层文件,Unnamed cover file,名前のないカバーファイル,Unnamed cover file,Unnamed cover file,Unnamed cover file,Unnamed cover file
inline.plan295.crypto.unnamed_file.39c2b3e183d0,未命名文件,Unnamed file,名前のないファイル,Unnamed file,Unnamed file,Unnamed file,Unnamed file
inline.plan295.crypto.unnamed_media.1a870df9500f,未命名媒体,Unnamed media,名前のないメディア,Unnamed media,Unnamed media,Unnamed media,Unnamed media
inline.plan295.crypto.use_a_passphrase_or_key_file_the_sam.50193458ceb4,口令或密钥文件至少提供一个，还原时必须一致。,Use a passphrase or key file; the same inputs are required when revealing.,パスフレーズまたはキーファイルを使用してください；復号時には同じ入力が必要です。,Use a passphrase or key file; the same inputs are required when revealing.,Use a passphrase or key file; the same inputs are required when revealing.,Use a passphrase or key file; the same inputs are required when revealing.,Use a passphrase or key file; the same inputs are required when revealing.
inline.plan295.crypto.use_key_files.32a60283b1c6,使用密钥文件,Use key files,キーファイルを使用,Use key files,Use key files,Use key files,Use key files
inline.plan295.crypto.use_the_passphrase_and_key_file_from.32f6378125e0,请输入写入时使用的口令和密钥文件。,Use the passphrase and key file from embedding.,埋め込み時のパスフレーズとキー ファイルを使用する。,Use the passphrase and key file from embedding.,Use the passphrase and key file from embedding.,Use the passphrase and key file from embedding.,Use the passphrase and key file from embedding.
inline.plan295.crypto.video.2074eae3b2ea,视频,Video,動画,Video,Video,Video,Video
inline.plan295.crypto.waiting_for_generate_or_reveal.404eae4246c4,等待生成或还原。,Waiting for generate or reveal.,Waiting for generate or reveal.,Waiting for generate or reveal.,Waiting for generate or reveal.,Waiting for generate or reveal.,Waiting for generate or reveal.
